model,mae,mse,rmse,r2,fit_seconds
XGBRegressor,20495.532712614156,1613696647.584703,40170.84325209894,0.7780986428260803,0.13700987500487827
RandomForestRegressor,18263.047572298325,977536792.707112,31265.58479713936,0.8655777552942037,0.5175172919989564
MLPRegressor,22725.547751310583,1920277336.8852644,43820.96914589252,0.7359403840269306,3.2261140000191517
